i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
1240,2020-03-13 12:59:00,1,1.11237,1.11021,1.13013,21.600000000001618,8.222222222221605,1,4H,1,-1.0,SL,-1.0555555555555514,EURUSD,0.05555555555555139
1127,2020-03-16 17:59:00,1,7336.73,7221.24,7969.06,115.48999999999978,5.475192657372951,2,4H,4,-1.0,SL,-1.0129881375010823,NAS100,0.012988137501082369
1272,2020-03-16 20:59:00,1,1.2267,1.22271,1.25278,39.89999999999938,6.536340852130453,1,12H,2,-1.0,SL,-1.0375939849624065,GBPUSD,0.037593984962406596
1276,2020-03-17 00:59:00,1,1.22416,1.22301,1.25278,11.499999999999844,24.886956521739545,1,12H,2,-1.0,SL,-1.1304347826086973,GBPUSD,0.13043478260869742
1276,2020-03-17 00:59:00,-1,1.11692,1.11741,1.11363,4.900000000001015,6.714285714284355,2,4H,1,-1.0,SL,-1.2448979591836227,EURUSD,0.24489795918362275
1278,2020-03-17 02:59:00,1,106.497,106.152,107.567,34.499999999999886,3.101449275362309,1,12H,1,3.101449275362309,TP,3.063768115942019,USDJPY,0.03768115942028998
1128,2020-03-17 04:59:00,1,2506.052,2478.8,2744.934,27.251999999999953,8.76566857478352,1,1D,3,-1.0,SL,-1.0220167327168648,SPX500,0.022016732716864856
1134,2020-03-17 11:59:00,1,2452.049,2409.449,2744.934,42.59999999999991,6.875234741784057,1,1D,3,-1.0,SL,-1.0140845070422535,SPX500,0.014084507042253551
1135,2020-03-17 11:59:00,1,7185.4,7076.34,8020.49,109.05999999999949,7.657161195672145,1,1D,4,-1.0,SL,-1.0137538969374658,NAS100,0.01375389693746568
1136,2020-03-17 13:59:00,1,2445.343,2364.9,2744.934,80.44299999999976,3.724264385962747,1,1D,3,-1.0,SL,-1.0074586974627997,SPX500,0.007458697462799768
1140,2020-03-17 16:59:00,1,7400.62,7235.31,8020.49,165.3099999999995,3.749742907265149,1,1D,4,-1.0,SL,-1.0090738612304155,NAS100,0.009073861230415611
1139,2020-03-17 16:59:00,1,2492.352,2443.846,2744.934,48.50599999999986,5.207232094998579,1,1D,3,-1.0,SL,-1.0123696037603596,SPX500,0.012369603760359579
1300,2020-03-18 00:59:00,1,1.10007,1.09837,1.11891,17.000000000000348,11.082352941176225,1,12H,1,-1.0,SL,-1.0705882352941163,EURUSD,0.0705882352941162
1146,2020-03-18 00:59:00,1,7159.14,7109.61,8020.49,49.530000000000655,17.390470421966246,1,1D,4,-1.0,SL,-1.030284675953967,NAS100,0.030284675953966892
1307,2020-03-18 07:59:00,1,1.09722,1.09546,1.11891,17.599999999999838,12.323863636363743,1,12H,1,-1.0,SL,-1.0681818181818188,EURUSD,0.0681818181818188
1308,2020-03-18 08:59:00,1,1.20185,1.19841,1.22695,34.40000000000109,7.296511627906715,1,12H,1,-1.0,SL,-1.0436046511627892,GBPUSD,0.04360465116278931
