par,tf,fecha,lado,ancho,obj,R,rr,coste,tp,N,fuera
GBPUSD,H12,2021-05-03 00:00:00,1,2.0,ext150,0.15472779369627107,1.1883954154727734,0.011461318051575955,0,0.1432664756446951,False
GBPUSD,H12,2021-05-04 12:00:00,1,1.0,opuesto,0.3716632443532064,0.3716632443532064,0.03285420944558569,1,0.3388090349076207,False
GBPUSD,H12,2021-05-04 12:00:00,1,1.0,ext150,0.242299794661186,1.6663244353183184,0.03285420944558569,0,0.2094455852156003,False
GBPUSD,H12,2021-05-04 12:00:00,1,1.25,opuesto,0.29733059548256513,0.29733059548256513,0.026283367556468554,1,0.2710472279260966,False
GBPUSD,H12,2021-05-04 12:00:00,1,1.25,ext150,0.1938398357289488,1.3330595482546548,0.026283367556468554,0,0.16755646817248027,False
GBPUSD,H12,2021-05-04 12:00:00,1,1.5,opuesto,0.24777549623547096,0.24777549623547096,0.021902806297057126,1,0.22587268993841383,False
GBPUSD,H12,2021-05-04 12:00:00,1,1.5,ext150,0.16153319644079067,1.110882956878879,0.021902806297057126,0,0.13963039014373355,False
GBPUSD,H12,2021-05-04 12:00:00,1,2.0,opuesto,0.1858316221766032,0.1858316221766032,0.016427104722792844,1,0.16940451745381035,False
GBPUSD,H12,2021-05-04 12:00:00,1,2.0,ext150,0.121149897330593,0.8331622176591592,0.016427104722792844,0,0.10472279260780015,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.0,opuesto,1.0614754098361043,1.0614754098361043,0.06557377049180335,1,0.995901639344301,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.0,medio,0.36885245901644415,0.36885245901644415,0.06557377049180335,1,0.3032786885246408,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.0,ext150,2.0778688524591624,2.0778688524591624,0.06557377049180335,1,2.012295081967359,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.25,opuesto,0.8491803278688835,0.8491803278688835,0.05245901639344268,1,0.7967213114754409,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.25,medio,0.2950819672131553,0.2950819672131553,0.05245901639344268,1,0.24262295081971263,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.25,ext150,1.6622950819673301,1.6622950819673301,0.05245901639344268,1,1.6098360655738875,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.5,opuesto,0.7076502732240696,0.7076502732240696,0.04371584699453556,1,0.663934426229534,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.5,medio,0.2459016393442961,0.2459016393442961,0.04371584699453556,1,0.20218579234976053,False
GBPUSD,H12,2021-05-06 00:00:00,-1,1.5,ext150,1.3852459016394418,1.3852459016394418,0.04371584699453556,1,1.3415300546449063,False
GBPUSD,H12,2021-05-06 00:00:00,-1,2.0,opuesto,0.5307377049180522,0.5307377049180522,0.032786885245901676,1,0.4979508196721505,False
GBPUSD,H12,2021-05-06 00:00:00,-1,2.0,medio,0.18442622950822207,0.18442622950822207,0.032786885245901676,1,0.1516393442623204,False
GBPUSD,H12,2021-05-06 00:00:00,-1,2.0,ext150,1.0389344262295812,1.0389344262295812,0.032786885245901676,1,1.0061475409836795,False
GBPUSD,H12,2021-05-07 00:00:00,-1,1.0,opuesto,-1.0,1.334507042253607,0.05633802816901501,0,-1.056338028169015,False
GBPUSD,H12,2021-05-07 00:00:00,-1,1.0,medio,0.1830985915493255,0.1830985915493255,0.05633802816901501,1,0.1267605633803105,False
GBPUSD,H12,2021-05-07 00:00:00,-1,1.0,ext150,-1.0,3.454225352112766,0.05633802816901501,0,-1.056338028169015,False
