dia,ts,i,fin,lado,entrada,stop,obj,riesgo,exceso,mecha,cuerpo,visto,A,B,C
2021-09-03,2021-09-03 07:59:00,124425,124473,1,1.18747,1.18713,1.18842,3.4000000000000696,0.40000000000040004,1.7000000000000348,2.20000000000109,True,False,True,False
2021-09-09,2021-09-09 07:49:00,125573,125623,-1,1.18236,1.1828,1.18148,4.3999999999999595,0.9999999999998899,2.1999999999988695,2.6999999999999247,False,False,True,False
2021-09-24,2021-09-24 06:34:00,128714,128779,1,1.174,1.17342,1.17476,5.800000000000249,0.1999999999990898,0.40000000000040004,4.699999999999704,False,True,True,True
2021-09-30,2021-09-30 07:19:00,129872,129928,1,1.15956,1.15904,1.16085,5.199999999998539,0.8999999999992347,3.4999999999985043,2.5999999999992696,False,False,True,False
2021-10-07,2021-10-07 06:49:00,131305,131367,-1,1.1566,1.15686,1.1560800000000002,2.5999999999992696,5.5000000000005045,6.800000000000139,1.2999999999996348,False,False,False,False
2021-10-08,2021-10-08 09:19:00,131623,131655,-1,1.15591,1.15621,1.15531,2.9999999999996696,0.8000000000008001,1.2000000000012,1.7000000000000348,False,False,True,False
2021-11-01,2021-11-01 07:09:00,136202,136272,-1,1.15622,1.15697,1.15472,7.500000000000284,1.7000000000000348,4.20000000000087,4.100000000000215,False,False,False,True
2021-11-17,2021-11-17 12:14:00,139694,139703,-1,1.13276,1.13293,1.13242,1.7000000000000348,1.4999999999987246,2.6999999999999247,0.5000000000010552,True,False,True,False
2021-11-22,2021-11-22 08:04:00,140508,140567,1,1.12697,1.1259,1.12896,10.700000000001264,4.8000000000003595,4.999999999999449,9.900000000000464,False,False,False,True
2021-11-29,2021-11-29 07:14:00,141938,142007,1,1.1266,1.12625,1.13001,3.5000000000007248,5.399999999999849,7.800000000000029,0.5000000000010552,False,False,False,False
2021-12-02,2021-12-02 07:29:00,142805,142871,1,1.13173,1.1312200000000001,1.13392,5.099999999997884,1.0000000000021103,1.7000000000000348,3.4000000000000696,False,False,True,False
2021-12-07,2021-12-07 07:44:00,143672,143735,-1,1.12935,1.12994,1.1281700000000003,5.899999999998684,0.1999999999990898,1.8999999999991246,3.2999999999994145,False,False,True,False
2021-12-08,2021-12-08 10:44:00,143996,144023,-1,1.12935,1.13002,1.1280100000000002,6.699999999999484,3.20000000000098,4.3999999999999595,5.399999999999849,False,False,False,True
2021-12-09,2021-12-09 07:24:00,144244,144311,1,1.1328,1.13212,1.13454,6.800000000000139,3.1000000000003247,4.60000000000127,4.3999999999999595,False,False,False,True
2021-12-28,2021-12-28 08:09:00,147991,148049,1,1.13199,1.13146,1.13312,5.300000000001415,0.8000000000008001,2.500000000000835,3.9999999999995595,False,True,True,True
2022-01-10,2022-01-10 08:19:00,150581,150637,1,1.13258,1.13195,1.13602,6.299999999999084,2.80000000000058,5.800000000000249,2.4000000000001798,False,False,False,False
2022-01-24,2022-01-24 11:39:00,153497,153513,1,1.13123,1.13098,1.1345,2.4999999999986144,2.6999999999999247,4.599999999999049,1.1999999999989797,True,False,False,False
2022-01-26,2022-01-26 07:34:00,154023,154088,1,1.12917,1.1289500000000001,1.13107,2.1999999999988695,1.40000000000029,3.900000000001125,0.2999999999997449,False,False,True,False
2022-02-03,2022-02-03 07:34:00,155747,155812,1,1.12915,1.12871,1.13082,4.3999999999999595,0.3999999999981796,2.1999999999988695,2.900000000001235,False,False,True,False
2022-02-04,2022-02-04 10:19:00,156068,156100,-1,1.14671,1.14762,1.1448899999999995,9.100000000001884,0.8000000000008001,3.300000000001635,6.6000000000010495,False,True,True,True
2022-03-07,2022-03-07 10:39:00,162115,162143,1,1.08192,1.08049,1.09256,14.300000000000423,4.100000000000215,15.400000000000968,11.200000000000099,False,False,False,True
2022-03-21,2022-03-21 07:19:00,164979,165047,-1,1.10574,1.10635,1.10452,6.099999999999994,2.4000000000001798,6.900000000000794,1.2000000000012,True,False,False,False
2022-03-25,2022-03-25 08:19:00,166141,166197,1,1.1009,1.09995,1.10376,9.500000000000064,1.9999999999997797,2.6999999999999247,7.800000000000029,False,False,False,True
2022-04-27,2022-04-27 06:24:00,172709,172776,1,1.0629,1.06246,1.06546,4.3999999999999595,5.9000000000009045,12.900000000000134,1.4999999999987246,False,False,False,False
2022-05-06,2022-05-06 06:24:00,174722,174789,1,1.052,1.05108,1.05506,9.200000000000319,2.60000000000149,3.8000000000004697,7.0000000000014495,False,False,False,True
2022-05-17,2022-05-17 06:19:00,176734,176802,-1,1.04505,1.04564,1.0438700000000003,5.899999999998684,1.3999999999980695,1.9999999999997797,4.999999999999449,False,True,True,True
2022-05-31,2022-05-31 06:59:00,179614,179674,1,1.07337,1.07283,1.0779,5.399999999999849,3.1000000000003247,6.699999999999484,2.8999999999990145,True,False,False,False
2022-06-03,2022-06-03 09:54:00,180511,180536,1,1.07461,1.07422,1.07643,3.900000000001125,0.5999999999994898,1.80000000000069,1.7000000000000348,True,False,True,False
2022-06-13,2022-06-13 07:04:00,182202,182261,1,1.04811,1.0469,1.05201,12.100000000001554,5.60000000000116,6.6000000000010495,11.200000000000099,False,False,False,True
2022-08-31,2022-08-31 07:19:00,198600,198656,1,1.00171,1.0006,1.00459,11.100000000001664,7.199999999998319,7.800000000000029,9.600000000000719,False,False,False,True
2022-09-01,2022-09-01 10:44:00,198929,198944,1,1.00114,1.00033,1.00542,8.099999999999774,0.40000000000040004,5.499999999998284,4.3999999999999595,True,True,True,True
2022-09-13,2022-09-13 06:29:00,201181,201247,-1,1.01415,1.01512,1.0122100000000003,9.699999999999154,0.1999999999990898,3.8000000000004697,5.099999999997884,False,True,True,True
2022-09-16,2022-09-16 06:09:00,202039,202109,1,0.99838,0.99753,1.0012,8.500000000000174,2.100000000000435,4.6000000000001595,5.1000000000001044,True,False,False,True
2022-09-20,2022-09-20 06:09:00,202611,202681,1,1.00195,1.00123,1.00504,7.199999999998319,3.1000000000003247,3.6999999999998145,6.199999999998429,False,False,False,True
2022-09-27,2022-09-27 06:09:00,204050,204120,-1,0.9649,0.96592,0.9628599999999999,10.200000000000209,1.000000000001,2.80000000000058,7.400000000000739,False,True,True,True
2022-09-28,2022-09-28 07:04:00,204349,204408,1,0.95564,0.95347,0.96006,21.700000000000053,3.6000000000002697,6.899999999999684,17.400000000000748,False,False,False,True
