R,neta,mot,rgo,hniv,izq,velas,pos,i
2.0,1.8725717340937402,TP,11.221999999999621,23,0,70,0.787401574803173,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,23,0,70,0.787401574803173,EURUSD
-1.0,-1.1310483870967925,SL,10.911999999998478,16,17,67,-0.4803149606298813,EURUSD
2.0,1.7658424758473745,TP,6.1069999999996405,23,0,15,0.04724409448814492,EURUSD
2.0,1.7681958177986825,TP,6.169000000000313,16,0,47,-0.7637795275589258,EURUSD
2.0,1.5564516129034556,TP,3.22400000000167,22,0,8,0.12625250501004492,EURUSD
2.0,1.8093841642229107,TP,7.502000000001452,16,0,8,0.4008016032064092,EURUSD
-1.0,-1.1036607466473294,SL,13.79500000000089,3,34,43,1.1803607214428642,EURUSD
2.0,1.6057347670250222,TP,3.6269999999993807,3,0,54,0.9959919839679542,EURUSD
2.0,1.5340501792114678,TP,3.0689999999999884,3,0,26,0.6448412698412592,EURUSD
-1.0,-1.0701049122462936,SL,20.39800000000147,23,0,83,0.5347222222222181,EURUSD
2.0,1.5477545857053925,TP,3.1620000000009973,23,0,2,0.575396825396823,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,16,19,13,0.9146825396825322,EURUSD
2.0,1.602335928809683,TP,3.5959999999990444,16,31,14,0.3303571428571454,EURUSD
2.0,1.8191018342821317,TP,7.905000000001383,16,4,78,-0.02709069493521196,EURUSD
2.0,1.8191018342821317,TP,7.905000000001383,21,5,78,-0.02709069493521196,EURUSD
-1.0,-1.7096774193549598,SL,2.014999999999656,21,0,6,0.03769140164900988,EURUSD
-1.0,-1.1914067728550677,SL,7.470999999998895,22,49,25,-0.08480565371022647,EURUSD
-1.0,-1.134880211280896,SL,10.601999999999556,22,2,38,-0.23557126030623984,EURUSD
2.0,1.8610571317528262,TP,10.292000000000634,2,57,54,-0.23557126030623984,EURUSD
-1.0,-1.1882817643186248,SL,7.5950000000002404,2,2,34,-0.3451118963486266,EURUSD
-1.0,-1.4393241167435005,SL,3.254999999999786,22,3,66,0.6232179226069412,EURUSD
-1.0,-1.2745775729647346,SL,5.207999999998769,22,3,3,0.49694501018330195,EURUSD
-1.0,-1.175395559916603,SL,8.152999999999633,21,0,43,0.8452138492871942,EURUSD
-1.0,-1.1502574340653393,SL,9.517000000001108,21,0,43,0.7413441955193707,EURUSD
-1.0,-1.512544802867534,SL,2.789999999999182,23,0,6,0.7013888888889135,EURUSD
2.0,1.6309677419354696,TP,3.874999999999851,23,0,50,1.0902777777779138,EURUSD
-1.0,-1.69892473118204,SL,2.0460000000022127,2,10,48,1.2916666666667502,EURUSD
-1.0,-1.4855687606114292,SL,2.944999999998643,2,0,28,1.1805555555556733,EURUSD
