lado,t,ent,stop,obj,rgoP,largo,gana,Rb,Rn,anio
compra,2024-12-24 02:00:00,1.04076,1.03979,1.0426999999999997,9.699999999999154,True,0,-1,-1.147422680412384,2024
compra,2024-12-27 07:45:00,1.04218,1.04075,1.0450400000000002,14.300000000000423,True,0,-1,-1.099999999999997,2024
compra,2024-12-30 11:15:00,1.04469,1.04093,1.0522099999999999,37.59999999999985,True,0,-1,-1.0380319148936172,2024
venta,2024-12-30 13:15:00,1.04375,1.04583,1.0395899999999998,20.800000000000818,False,1,2,1.9312500000000028,2024
compra,2025-01-03 06:45:00,1.0279,1.02646,1.0307800000000003,14.400000000001079,True,1,2,1.9006944444444518,2025
venta,2025-01-03 15:15:00,1.0275,1.03028,1.02194,27.800000000000047,False,0,-1,-1.0514388489208633,2025
compra,2025-01-09 03:00:00,1.03203,1.03121,1.03367,8.20000000000043,True,0,-1,-1.1743902439024299,2025
venta,2025-01-09 21:45:00,1.0299,1.03035,1.029,4.500000000000615,False,0,-1,-1.3177777777777344,2025
venta,2025-01-13 19:00:00,1.02121,1.02195,1.01973,7.399999999999629,False,0,-1,-1.193243243243253,2025
compra,2025-01-15 07:30:00,1.03003,1.02919,1.03171,8.399999999999519,True,1,2,1.829761904761895,2025
venta,2025-01-15 15:45:00,1.03061,1.03544,1.0209500000000002,48.299999999998896,False,0,-1,-1.0296066252587999,2025
venta,2025-01-20 06:00:00,1.03016,1.03071,1.0290599999999999,5.5000000000005045,False,0,-1,-1.2599999999999763,2025
venta,2025-01-20 13:15:00,1.03137,1.03264,1.0288299999999997,12.700000000001044,False,0,-1,-1.112598425196841,2025
venta,2025-01-23 11:45:00,1.04031,1.04203,1.0368700000000002,17.199999999999438,False,0,-1,-1.0831395348837236,2025
compra,2025-01-24 02:00:00,1.04308,1.04133,1.0465799999999998,17.499999999999183,True,1,2,1.9182857142857104,2025
venta,2025-01-30 10:45:00,1.04006,1.04288,1.03442,28.200000000000447,False,0,-1,-1.0507092198581551,2025
compra,2025-01-31 02:30:00,1.03928,1.03768,1.04248,16.00000000000046,True,0,-1,-1.0893749999999975,2025
compra,2025-02-03 11:45:00,1.02522,1.02255,1.03056,26.699999999999502,True,1,2,1.9464419475655421,2025
venta,2025-02-04 17:00:00,1.03726,1.03857,1.0346400000000002,13.099999999999223,False,0,-1,-1.109160305343518,2025
venta,2025-02-04 22:30:00,1.03768,1.03874,1.0355599999999998,10.600000000000609,False,0,-1,-1.1349056603773509,2025
venta,2025-02-07 03:30:00,1.03783,1.03867,1.0361500000000001,8.399999999999519,False,0,-1,-1.170238095238105,2025
venta,2025-02-07 13:45:00,1.03634,1.0384,1.0322200000000001,20.599999999999508,False,0,-1,-1.069417475728157,2025
venta,2025-02-10 02:45:00,1.02995,1.03183,1.0261899999999997,18.800000000001038,False,0,-1,-1.0760638297872298,2025
