dia,ts,i,fin,lado,rama,entrada,stop,obj,riesgo,R,motivo,rr,coste_R,neto
2024-01-26,2024-01-26 07:39:00,293676,293740,1,mínimo,1.08205,1.08139,1.08488,6.599999999998829,-1.0,SL,4.287878787879715,0.18181818181821408,-1.181818181818214
2024-01-29,2024-01-29 08:09:00,293970,294028,1,mínimo,1.08384,1.08321,1.0849,6.299999999999084,-1.0,SL,1.6825396825400238,0.19047619047621817,-1.1904761904762182
2024-01-30,2024-01-30 07:39:00,294252,294316,1,mínimo,1.08158,1.08119,1.08422,3.8999999999989043,6.769230769232609,TP,6.769230769232609,0.30769230769239414,6.461538461540214
2024-02-01,2024-02-01 07:34:00,294826,294891,1,mínimo,1.07884,1.0783,1.08217,5.399999999999849,-1.0,SL,6.1666666666669405,0.2222222222222284,-1.2222222222222283
2024-02-02,2024-02-02 07:29:00,295113,295179,-1,máximo,1.08804,1.08879,1.0865399999999998,7.500000000000284,-1.0,SL,2.0,0.15999999999999392,-1.159999999999994
2024-02-05,2024-02-05 10:34:00,295438,295467,1,mínimo,1.0753,1.07489,1.07847,4.100000000000215,-1.0,SL,7.7317073170730515,0.29268292682925295,-1.292682926829253
2024-02-06,2024-02-06 07:24:00,295688,295755,-1,máximo,1.07574,1.07633,1.0745599999999997,5.9000000000009045,2.0,TP,2.0,0.2033898305084434,1.7966101694915566
2024-02-07,2024-02-07 07:34:00,295977,296042,-1,máximo,1.07695,1.0772,1.0764500000000004,2.4999999999986144,-1.0,SL,2.0,0.480000000000266,-1.480000000000266
2024-02-08,2024-02-08 11:34:00,296313,296330,1,mínimo,1.07643,1.07617,1.07883,2.5999999999992696,-1.0,SL,9.230769230771662,0.4615384615385912,-1.4615384615385911
2024-02-09,2024-02-09 07:49:00,296556,296618,-1,máximo,1.078,1.07827,1.07746,2.6999999999999247,-1.0,SL,2.0,0.4444444444444568,-1.4444444444444569
2024-02-12,2024-02-12 08:44:00,296855,296906,1,mínimo,1.07807,1.07766,1.07997,4.100000000000215,-1.0,SL,4.634146341463203,0.29268292682925295,-1.292682926829253
2024-02-13,2024-02-13 11:44:00,297179,297194,-1,máximo,1.0774,1.07793,1.0763399999999996,5.300000000001415,-1.0,SL,2.0,0.2264150943395622,-1.2264150943395622
2024-02-14,2024-02-14 08:39:00,297430,297482,1,mínimo,1.07005,1.0695000000000001,1.07186,5.499999999998284,0.9272727272730356,cierre Londres,3.29090909091028,0.21818181818188626,0.7090909090911492
2024-02-15,2024-02-15 09:44:00,297731,297770,-1,máximo,1.07318,1.07374,1.0720600000000002,5.599999999998939,-1.0,SL,2.0,0.21428571428575488,-1.2142857142857548
2024-02-16,2024-02-16 11:54:00,298045,298058,-1,máximo,1.07779,1.07808,1.0772100000000002,2.8999999999990145,2.0,TP,2.0,0.41379310344841647,1.5862068965515834
2024-02-19,2024-02-19 10:19:00,298314,298346,1,mínimo,1.07758,1.07721,1.07889,3.6999999999998145,-1.0,SL,3.540540540540508,0.32432432432434055,-1.3243243243243406
2024-02-20,2024-02-20 10:09:00,298599,298633,-1,máximo,1.0797,1.08003,1.0790400000000002,3.2999999999994145,-1.0,SL,2.0,0.36363636363642815,-1.3636363636364282
2024-02-21,2024-02-21 09:34:00,298880,298921,1,mínimo,1.07961,1.07926,1.08191,3.4999999999985043,2.0000000000012688,cierre Londres,6.571428571431291,0.34285714285728935,1.6571428571439795
2024-02-22,2024-02-22 09:14:00,299164,299209,-1,máximo,1.08647,1.08696,1.0854900000000003,4.899999999998794,2.0,TP,2.0,0.24489795918373372,1.7551020408162663
2024-02-23,2024-02-23 12:44:00,299494,299497,-1,máximo,1.08364,1.08386,1.0831999999999997,2.20000000000109,-1.0,SL,2.0,0.5454545454542752,-1.5454545454542752
2024-02-26,2024-02-26 07:44:00,299722,299785,-1,máximo,1.083,1.08376,1.0814799999999998,7.600000000000939,-1.0,SL,2.0,0.15789473684208574,-1.1578947368420858
2024-02-27,2024-02-27 07:44:00,300010,300073,-1,máximo,1.08572,1.08605,1.0850600000000001,3.2999999999994145,-1.0,SL,2.0,0.36363636363642815,-1.3636363636364282
2024-02-28,2024-02-28 08:34:00,300308,300361,1,mínimo,1.08178,1.08132,1.08455,4.599999999999049,-1.0,SL,6.021739130435895,0.2608695652174452,-1.2608695652174453
2024-02-29,2024-02-29 09:29:00,300607,300649,-1,máximo,1.08457,1.08513,1.0834500000000002,5.599999999998939,-1.0,SL,2.0,0.21428571428575488,-1.2142857142857548
2024-03-01,2024-03-01 12:29:00,300931,300937,-1,máximo,1.08213,1.08257,1.08125,4.3999999999999595,2.0,TP,2.0,0.2727272727272752,1.7272727272727249
2024-03-04,2024-03-04 07:29:00,301159,301225,-1,máximo,1.08478,1.08497,1.0844000000000003,1.8999999999991246,-1.0,SL,2.0,0.631578947368712,-1.6315789473687121
2024-03-05,2024-03-05 07:54:00,301451,301512,1,mínimo,1.08444,1.0840400000000001,1.0858,3.9999999999995595,0.6999999999996669,cierre Londres,3.400000000000444,0.300000000000033,0.39999999999963387
2024-03-06,2024-03-06 09:04:00,301753,301800,-1,máximo,1.08719,1.08751,1.0865500000000003,3.1999999999987594,-1.0,SL,2.0,0.3750000000001454,-1.3750000000001454
2024-03-07,2024-03-07 08:39:00,302036,302088,1,mínimo,1.08935,1.0891,1.09073,2.500000000000835,-1.0,SL,5.5199999999979035,0.47999999999983967,-1.4799999999998397
2024-03-08,2024-03-08 09:04:00,302329,302376,1,mínimo,1.09368,1.0933,1.09556,3.8000000000004697,-1.0,SL,4.9473684210522935,0.3157894736841715,-1.3157894736841715
2024-03-11,2024-03-11 09:09:00,302642,302688,1,mínimo,1.09362,1.09319,1.09473,4.299999999999304,-1.0,SL,2.5813953488374977,0.2790697674419056,-1.2790697674419056
2024-03-12,2024-03-12 08:19:00,302920,302976,1,mínimo,1.09258,1.09225,1.09393,3.300000000001635,-1.0,SL,4.09090909090695,0.36363636363618346,-1.3636363636361835
2024-03-13,2024-03-13 10:39:00,303236,303264,-1,máximo,1.09384,1.0942399999999999,1.09304,3.9999999999995595,-1.0,SL,2.0,0.300000000000033,-1.3000000000000331
2024-03-15,2024-03-15 07:49:00,303778,303840,-1,máximo,1.08828,1.08873,1.0873799999999998,4.500000000000615,-1.0,SL,2.0,0.26666666666663025,-1.2666666666666302
2024-03-18,2024-03-18 11:34:00,304111,304128,-1,máximo,1.09001,1.09056,1.0889099999999998,5.5000000000005045,2.0,TP,2.0,0.21818181818179816,1.7818181818182017
2024-03-19,2024-03-19 07:49:00,304354,304416,1,mínimo,1.08458,1.08423,1.08765,3.5000000000007248,-1.0,SL,8.771428571426487,0.34285714285707186,-1.342857142857072
2024-03-20,2024-03-20 08:29:00,304650,304704,1,mínimo,1.08439,1.08392,1.0872,4.699999999999704,-1.0,SL,5.978723404255651,0.25531914893618624,-1.2553191489361861
2024-03-21,2024-03-21 08:09:00,304934,304992,1,mínimo,1.08939,1.08884,1.09426,5.5000000000005045,-1.0,SL,8.854545454544516,0.21818181818179816,-1.2181818181817983
2024-03-22,2024-03-22 08:59:00,305232,305280,1,mínimo,1.08161,1.08134,1.08679,2.6999999999999247,-1.0,SL,19.18518518518558,0.4444444444444568,-1.4444444444444569
2024-03-25,2024-03-25 10:34:00,305539,305568,-1,máximo,1.08227,1.0824,1.0820100000000001,1.2999999999996348,-1.0,SL,2.0,0.9230769230771824,-1.9230769230771823
2024-03-26,2024-03-26 08:59:00,305808,305856,-1,máximo,1.08536,1.08557,1.0849400000000005,2.0999999999982144,-1.0,SL,2.0,0.5714285714290572,-1.5714285714290572
2024-03-27,2024-03-27 10:39:00,306116,306144,-1,máximo,1.08324,1.08362,1.0824799999999999,3.8000000000004697,2.0,TP,2.0,0.3157894736841715,1.6842105263158285
2024-03-28,2024-03-28 07:39:00,306367,306431,1,mínimo,1.07926,1.07909,1.08265,1.7000000000000348,-1.0,SL,19.941176470586544,0.705882352941162,-1.705882352941162
2024-03-29,2024-03-29 12:29:00,306712,306718,-1,máximo,1.0799,1.08039,1.0789200000000003,4.899999999998794,0.18367346938809728,cierre Londres,2.0,0.24489795918373372,-0.06122448979563644
