slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
0.35,2.0,0.25,3,75.4880000000001,37.74400000000005,452.92800000000057,226.46400000000028,0.2296,0.1343,0.32475,0.18205,-5.512331707317085,-20.91818018018014,46.0
0.35,3.0,0.35,5,75.4880000000001,25.1626666666667,754.880000000001,251.62666666666698,0.2238,0.1468,0.3274,0.19965,-13.621177235772356,-36.20621621621619,27.0
0.5,3.0,0.35,3,107.84000000000015,35.946666666666715,647.0400000000009,215.6800000000003,0.22255,0.18565,0.3189,0.25095,-9.309428292682924,-18.207609609609616,37.0
1.0,5.0,0.35,2,215.6800000000003,43.13600000000006,862.7200000000012,172.54400000000024,0.222,0.21675,0.30635,0.30485,-8.399672195121838,-11.341507507507375,42.0
1.0,5.0,0.5,2,215.6800000000003,43.13600000000006,862.7200000000012,172.54400000000024,0.22195,0.21925,0.3054,0.30245,-8.399672195121838,-11.341507507507375,42.0
0.35,5.0,0.35,5,75.4880000000001,15.09760000000002,754.880000000001,150.9760000000002,0.2207,0.1267,0.3055,0.16855,-8.804628292682954,-24.94583783783787,47.0
0.75,5.0,0.5,3,161.76000000000022,32.35200000000005,970.5600000000013,194.11200000000028,0.2006,0.2282,0.27615,0.3145,-18.350499512194997,-15.724261261261157,32.5
0.5,3.0,0.25,2,107.84000000000015,35.946666666666715,431.3600000000006,143.78666666666686,0.18955,0.1274,0.22495,0.1591,-6.206285528455264,-12.138406406406396,75.0
0.5,5.0,0.35,3,107.84000000000015,21.56800000000003,647.0400000000009,129.4080000000002,0.18325,0.1106,0.2402,0.1445,-9.575730731707313,-20.478063063063072,60.0
0.35,3.0,0.25,3,75.4880000000001,25.1626666666667,452.92800000000057,150.9760000000002,0.18045,0.0779,0.2279,0.10015,-8.172706341463423,-21.723729729729726,67.0
0.75,5.0,0.35,2,161.76000000000022,32.35200000000005,647.0400000000009,129.4080000000002,0.15615,0.18265,0.1965,0.23225,-12.233666341463334,-10.482840840840773,63.0
