par,t,d,rr,R,neta,tp,p_D5,p_D10,p_D20,p_W3,p_W6,p_W12,bd,fuera
EURUSD,2020-07-17 00:00:00,-1,1.1243042671614003,-1.0,-1.0265306122448978,0,0,0,-1,0,-1,-1,-1,False
EURUSD,2020-07-18 00:00:00,-1,4.742514970059665,-1.0,-1.0856287425149669,0,0,0,-1,0,-1,-1,1,False
EURUSD,2020-07-20 12:00:00,1,1.2387387387387652,-1.0,-1.0429429429429422,0,-1,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-21 00:00:00,1,1.5477528089888284,1.5477528089888284,1.5209737827715994,1,-1,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-21 12:00:00,-1,2.6064814814815653,-1.0,-1.044135802469137,0,-1,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-23 00:00:00,-1,3.1389645776566764,-1.0,-1.0389645776566752,0,-1,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-24 00:00:00,-1,1.6234177215190295,-1.0,-1.0452531645569645,0,-1,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-29 12:00:00,-1,1.2006302521009005,-1.0,-1.0300420168067235,0,-1,-1,-1,0,0,-1,-1,False
EURUSD,2020-07-31 12:00:00,-1,2.9108695652172916,1.2246376811594075,1.2039130434782486,0,0,-1,-1,0,0,-1,1,False
EURUSD,2020-08-04 00:00:00,1,1.742236024844756,1.4068322981366563,1.384627329192557,0,0,-1,-1,0,0,-1,-1,False
EURUSD,2020-08-04 12:00:00,-1,2.396666666666704,-1.0,-1.0317777777777781,0,0,-1,-1,0,0,-1,-1,False
EURUSD,2020-08-05 00:00:00,1,0.8724324324324126,0.8724324324324126,0.8569729729729532,1,0,-1,-1,0,0,-1,1,False
EURUSD,2020-08-06 12:00:00,-1,1.249273255813973,1.249273255813973,1.2284883720930426,1,0,-1,-1,0,0,-1,1,False
EURUSD,2020-08-07 00:00:00,1,2.198952879581137,-1.0,-1.024956369982548,0,-1,-1,-1,0,0,-1,1,False
EURUSD,2020-08-11 12:00:00,-1,3.0215827338129313,-1.0,-1.0514388489208633,0,0,0,-1,-1,-1,-1,-1,False
