slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
1.0,1.0,0.35,3,45.91150000000016,45.91150000000016,688.6725000000024,688.6725000000024,0.2881,0.2875,0.4024,0.3946,-0.5392836257310264,-3.458930180180108,21.0
1.0,2.0,0.65,6,45.91150000000016,22.95575000000008,1377.3450000000048,688.6725000000024,0.28715,0.3018,0.36815,0.38445,-23.273004385964544,-20.312646396395856,9.0
0.75,3.0,0.8,9,34.43362500000012,11.47787500000004,1549.5131250000054,516.5043750000018,0.2831,0.2551,0.35715,0.331,-37.034550438596085,-56.38890202702673,10.0
1.0,3.0,0.8,7,45.91150000000016,15.303833333333387,1606.9025000000056,535.6341666666685,0.28185,0.26785,0.35715,0.34365,-32.732959714099636,-46.52522147147097,10.0
1.0,1.5,0.5,4,45.91150000000016,30.607666666666773,918.2300000000032,612.1533333333355,0.27815,0.2633,0.3806,0.35685,-9.769824561403302,-15.13338338338324,15.0
0.75,1.0,0.35,4,34.43362500000012,34.43362500000012,688.6725000000024,688.6725000000024,0.2768,0.25715,0.3746,0.34215,-5.735533625731011,-15.00986486486493,16.0
1.0,5.0,1.0,9,45.91150000000016,9.182300000000032,2066.017500000007,413.2035000000014,0.275,0.2092,0.3867,0.29085,-28.301179824560915,-78.96054729729693,10.0
1.0,3.0,1.0,9,45.91150000000016,15.303833333333387,2066.017500000007,688.6725000000024,0.2748,0.2688,0.3751,0.35515,-42.08523391812816,-59.81814189189132,6.0
1.0,5.0,0.8,7,45.91150000000016,9.182300000000032,1606.9025000000056,321.3805000000011,0.27295,0.19385,0.3688,0.25025,-22.012028752436226,-61.413759009008665,17.0
1.0,1.0,0.25,2,45.91150000000016,45.91150000000016,459.1150000000016,459.1150000000016,0.26915,0.2613,0.3683,0.3632,-0.3595224171540359,-2.305953453453425,44.0
0.75,3.0,0.65,8,34.43362500000012,11.47787500000004,1377.3450000000048,459.1150000000016,0.26295,0.241,0.3401,0.30965,-32.919600389863206,-50.12346846846821,12.0
0.75,1.0,0.25,3,34.43362500000012,34.43362500000012,516.5043750000018,516.5043750000018,0.2598,0.23125,0.36875,0.3245,-4.301650219298254,-11.257398648648694,27.0
1.0,3.0,0.65,6,45.91150000000016,15.303833333333387,1377.3450000000048,459.1150000000016,0.25805,0.2515,0.342,0.31705,-28.056822612085405,-39.87876126126084,13.0
