ts,dir,entrada,rr,riesgo_pips,motivo,pips,R,bruto
2025-12-09 14:45:00,largo,1.16374,3.0,10.499999999999954,SL,-11.699999999999953,-1.1142857142857148,-1.0
2025-12-11 06:30:00,largo,1.1687,3.0,5.9000000000009045,TP,16.500000000002714,2.7966101694915566,3.0
2025-12-12 09:45:00,largo,1.17326,3.0,6.899999999998574,SL,-8.099999999998573,-1.1739130434782967,-0.9999999999999999
2025-12-12 13:45:00,corto,1.17271,3.0,8.900000000000574,SL,-10.100000000000573,-1.1348314606741485,-1.0
2025-12-15 08:30:00,largo,1.17358,3.0,10.40000000000152,TP,30.000000000004558,2.8846153846154015,3.0
2025-12-16 06:30:00,largo,1.17509,3.0,5.599999999998939,SL,-6.799999999998939,-1.2142857142857548,-1.0
2025-12-16 08:30:00,corto,1.17492,3.0,15.700000000000713,SL,-16.900000000000713,-1.0764331210191047,-1.0
2025-12-16 13:30:00,corto,1.17636,3.0,31.999999999998696,SL,-33.199999999998695,-1.0375000000000014,-1.0
2025-12-19 13:30:00,largo,1.17139,3.0,12.799999999999478,TP,37.19999999999843,2.906249999999996,3.0
2025-12-23 09:15:00,corto,1.17825,3.0,8.699999999999264,SL,-9.899999999999263,-1.1379310344827702,-1.0
2025-12-24 08:45:00,largo,1.17993,3.0,20.599999999999508,SL,-21.799999999999507,-1.0582524271844673,-1.0
2025-12-29 09:45:00,corto,1.17761,3.0,13.900000000000023,TP,40.500000000000064,2.913669064748201,2.9999999999999996
2025-12-31 07:30:00,largo,1.17365,3.0,7.800000000000029,SL,-9.000000000000028,-1.153846153846153,-0.9999999999999999
2025-12-31 09:15:00,largo,1.17312,3.0,12.299999999998423,SL,-13.499999999998423,-1.0975609756097686,-1.0
2026-01-05 09:45:00,largo,1.16824,3.0,9.799999999999809,SL,-10.999999999999808,-1.122448979591839,-1.0
2026-01-05 13:45:00,largo,1.16744,3.0,16.599999999999948,TP,48.59999999999984,2.9277108433734935,3.0
2026-01-06 07:15:00,corto,1.17344,3.0,9.399999999999409,TP,26.999999999998227,2.872340425531907,3.0
2026-01-07 15:00:00,corto,1.16888,3.0,10.700000000001264,TP,30.90000000000379,2.8878504672897325,2.9999999999999996
2026-01-09 07:45:00,largo,1.16508,3.0,11.899999999998023,SL,-13.099999999998023,-1.1008403361344705,-1.0
2026-01-09 10:45:00,largo,1.16465,3.0,10.799999999999699,SL,-11.999999999999698,-1.111111111111114,-1.0
2026-01-09 15:45:00,largo,1.16405,3.0,23.599999999999177,tiempo,1.6999999999990145,0.0720338983050455,0.12288135593216591
2026-01-14 07:45:00,corto,1.16461,3.0,6.800000000000139,SL,-8.000000000000139,-1.1764705882352904,-0.9999999999999999
2026-01-15 10:45:00,corto,1.16358,3.0,6.099999999999994,TP,17.099999999999984,2.80327868852459,3.0
2026-01-16 09:45:00,corto,1.16085,3.0,7.600000000000939,SL,-8.800000000000939,-1.1578947368420855,-0.9999999999999999
2026-01-19 07:30:00,corto,1.16254,3.0,16.80000000000126,SL,-18.000000000001258,-1.071428571428566,-1.0
