i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
350,351,1,True,1938.455,1938.825,1934.255,1.0,0.0,0.08809523809527006,2023-01-24 10:59:00,419.9999999999818,0.08809523809527006,0.08333333333333694,0.004761904761933125,XAUUSD,35.0,u
220,221,1,True,4144.379,4148.499,4132.499,0.0,0.0,0.34680134680133445,2023-01-24 11:59:00,11.88000000000011,-1.0,0.1683501683501668,-1.168350168350167,GRXEUR,2.0,p
352,353,1,False,1936.595,1934.848,1939.278,1.0,1.0,0.6511367871785597,2023-01-24 12:59:00,268.2999999999993,0.6511367871785597,0.1304509877003358,0.5206857994782239,XAUUSD,35.0,u
226,227,1,False,4154.059,4150.339,4158.079,0.0,1.0,0.9253731343285304,2023-01-24 17:57:00,4.019999999999527,-1.0,0.4975124378110038,-1.4975124378110038,GRXEUR,2.0,p
360,361,1,False,1937.785,1934.035,1938.148,0.0,1.0,10.33057851240156,2023-01-24 20:59:00,36.2999999999829,-1.0,0.9641873278241456,-1.9641873278241455,XAUUSD,35.0,u
362,363,1,True,1936.925,1937.768,1936.175,1.0,0.0,1.1240000000000994,2023-01-24 23:59:00,75.0,1.1240000000000994,0.4666666666666667,0.6573333333334327,XAUUSD,35.0,u
230,231,1,True,4151.199,4159.199,4144.089,0.0,0.0,1.1251758087201644,2023-01-25 07:59:00,7.109999999999673,-1.0,0.2812939521800411,-1.281293952180041,GRXEUR,2.0,p
370,371,1,False,1928.665,1926.265,1933.637,1.0,1.0,0.4827031375703687,2023-01-25 07:59:00,497.199999999998,0.4827031375703687,0.07039420756234945,0.41230893000801927,XAUUSD,35.0,u
233,234,1,True,4129.389,4147.369,4115.369,1.0,1.0,1.2824536376604139,2023-01-25 10:58:00,14.020000000000437,1.2824536376604139,0.14265335235377588,1.139800285306638,GRXEUR,2.0,p
237,238,1,False,4125.339,4119.339,4132.499,0.0,0.0,0.8379888268156594,2023-01-25 14:59:00,7.1599999999998545,-1.0,0.2793296089385532,-1.279329608938553,GRXEUR,2.0,p
379,380,1,True,1936.638,1938.648,1928.755,1.0,1.0,0.2549790688824101,2023-01-25 16:59:00,788.2999999999811,0.2549790688824101,0.04439934035265868,0.21057972852975143,XAUUSD,35.0,u
380,381,1,False,1937.198,1928.755,1940.365,0.0,0.0,2.665929902115632,2023-01-25 17:59:00,316.69999999999163,-1.0,0.11051468266498556,-1.1105146826649857,XAUUSD,35.0,u
381,382,1,False,1939.915,1936.085,1942.008,0.0,0.0,1.829909221213469,2023-01-25 18:59:00,209.30000000000746,-1.0,0.16722408026755256,-1.1672240802675526,XAUUSD,35.0,u
