F,obj,mot,R,neta,rgo,lado,anio
0.705,nivel,TP,0.7934018222957849,0.4112089524859178,1.3082399999998415,1,2020
0.705,1:2,TP,2.0,1.617807130190133,1.3082399999998415,1,2020
0.79,nivel,TP,1.2851410316350287,0.79815334268373,1.026719999999841,1,2020
0.79,1:2,TP,2.0,1.5130123110487013,1.026719999999841,1,2020
0.5,nivel,SL,-1.0,-1.4039424785910881,1.2377999999998792,-1,2020
0.5,1:2,SL,-1.0,-1.4039424785910881,1.2377999999998792,-1,2020
0.618,nivel,SL,-1.0,-1.5028329609017708,0.9943659999998999,-1,2020
0.618,1:2,SL,-1.0,-1.5028329609017708,0.9943659999998999,-1,2020
0.705,nivel,SL,-1.0,-1.6135835117840398,0.8148849999997765,-1,2020
0.705,1:2,SL,-1.0,-1.6135835117840398,0.8148849999997765,-1,2020
0.79,nivel,SL,-1.0,-1.781824152111802,0.6395299999999224,-1,2020
0.79,1:2,SL,-1.0,-1.781824152111802,0.6395299999999224,-1,2020
0.5,1:2,TP,2.0,1.915773869685332,5.936400000000049,1,2020
0.5,nivel,SL,-1.0,-1.1697562300536655,2.9453999999996086,-1,2020
0.5,1:2,SL,-1.0,-1.1697562300536655,2.9453999999996086,-1,2020
0.618,nivel,TP,0.053996005304689655,-0.15731880389072864,2.3661379999998644,-1,2020
0.618,1:2,SL,-1.0,-1.2113148091954182,2.3661379999998644,-1,2020
0.705,nivel,TP,0.28614196090348604,0.02828439626501783,1.9390549999998257,-1,2020
0.705,1:2,TP,2.0,1.7421424353615318,1.9390549999998257,-1,2020
0.79,nivel,TP,0.6387937888932383,0.310233343628076,1.5217899999997826,-1,2020
0.79,1:2,TP,2.0,1.6714395547348375,1.5217899999997826,-1,2020
0.5,1:2,SL,-1.0,-1.1735026719411412,2.881800000000112,1,2020
0.618,1:2,TP,2.0,1.7840215701977566,2.315046000000166,1,2020
0.705,1:2,TP,2.0,1.7364516375577865,1.8971850000002632,1,2020
0.79,1:2,TP,2.0,1.6641883768880967,1.488929999999982,1,2020
0.5,nivel,SL,-1.0,-1.1554726368159254,3.2159999999998945,1,2020
0.5,1:2,SL,-1.0,-1.1554726368159254,3.2159999999998945,1,2020
0.618,nivel,SL,-1.0,-1.1935344026754096,2.583520000000135,1,2020
0.618,1:2,SL,-1.0,-1.1935344026754096,2.583520000000135,1,2020
0.705,nivel,SL,-1.0,-1.2361609673153067,2.117200000000139,1,2020
0.705,1:2,SL,-1.0,-1.2361609673153067,2.117200000000139,1,2020
0.79,nivel,SL,-1.0,-1.3009147809340562,1.6615999999999076,1,2020
0.79,1:2,SL,-1.0,-1.3009147809340562,1.6615999999999076,1,2020
0.5,nivel,TP,1.8265691833277222,1.5778871978508149,2.0106000000005224,-1,2020
0.5,1:2,TP,2.0,1.7513180145230927,2.0106000000005224,-1,2020
0.5,nivel,TP,1.1943066683623078,1.0883250667683524,4.717800000000352,-1,2020
0.5,1:2,TP,2.0,1.8940183984060446,4.717800000000352,-1,2020
0.5,nivel,TP,1.1943066683623078,1.0883250667683524,4.717800000000352,-1,2020
0.5,1:2,TP,2.0,1.8940183984060446,4.717800000000352,-1,2020
0.5,nivel,SL,-1.0,-1.2252252252252456,2.2199999999998,1,2020
