conf,ses,clave,lado,t,tent,ent,stop,rgo,obj,gano,rgoP,cpc,Rb,Rn
C1,londres,lo,1,2020-01-07 13:10:00,2020-01-07 12:10:00,1.11811,1.11786,0.00024999999999986144,1.1186099999999997,0,2.4999999999986144,57.2000000000317,-1.0,-1.5720000000003171
C1,londres,lo,1,2020-01-08 08:15:00,2020-01-08 07:15:00,1.11451,1.11447,3.999999999981796e-05,1.1145899999999995,1,0.3999999999981796,357.500000001627,2.0,-1.5750000000162698
C2,londres,lo,1,2020-01-08 08:40:00,2020-01-08 07:40:00,1.11508,1.11447,0.0006099999999999994,1.1163,0,6.099999999999994,23.442622950819693,-1.0,-1.234426229508197
C1,londres,lo,1,2020-01-08 08:25:00,2020-01-08 07:25:00,1.11452,1.11447,4.999999999988347e-05,1.1146199999999997,1,0.4999999999988347,286.00000000066655,2.0,-0.8600000000066652
C2,londres,lo,1,2020-01-08 08:30:00,2020-01-08 07:30:00,1.11478,1.11447,0.00031000000000003247,1.1154000000000002,0,3.1000000000003247,46.12903225805968,-1.0,-1.4612903225805969
C1,londres,lo,1,2020-01-08 08:35:00,2020-01-08 07:35:00,1.11483,1.11432,0.0005100000000000104,1.11585,0,5.1000000000001044,28.039215686273934,-1.0,-1.2803921568627392
C2,londres,lo,1,2020-01-08 08:40:00,2020-01-08 07:40:00,1.11488,1.11432,0.000560000000000116,1.1160000000000003,0,5.60000000000116,25.535714285709,-1.0,-1.25535714285709
C1,londres,hi,-1,2020-01-09 08:40:00,2020-01-09 07:40:00,1.11191,1.11199,8.000000000008001e-05,1.1117499999999998,1,0.8000000000008001,178.74999999982123,2.0,0.21250000000178781
C2,londres,hi,-1,2020-01-09 08:50:00,2020-01-09 07:50:00,1.11164,1.11199,0.0003500000000000725,1.1109399999999998,1,3.5000000000007248,40.8571428571344,2.0,1.591428571428656
C1,londres,hi,-1,2020-01-09 08:45:00,2020-01-09 07:45:00,1.11167,1.11204,0.00036999999999998145,1.11093,0,3.6999999999998145,38.648648648650585,-1.0,-1.3864864864865059
C2,londres,hi,-1,2020-01-09 08:50:00,2020-01-09 07:50:00,1.11167,1.11204,0.00036999999999998145,1.11093,1,3.6999999999998145,38.648648648650585,2.0,1.6135135135134941
C1,londres,lo,1,2020-01-09 09:05:00,2020-01-09 08:05:00,1.11072,1.1106,0.00011999999999989797,1.1109599999999997,1,1.1999999999989797,119.166666666768,2.0,0.8083333333323202
C2,londres,lo,1,2020-01-09 09:30:00,2020-01-09 08:30:00,1.11138,1.1106,0.0007800000000000029,1.11294,0,7.800000000000029,18.333333333333265,-1.0,-1.1833333333333327
C1,londres,lo,1,2020-01-09 09:15:00,2020-01-09 08:15:00,1.11083,1.11051,0.00031999999999987594,1.1114699999999997,1,3.1999999999987594,44.68750000001732,2.0,1.553124999999827
C2,londres,lo,1,2020-01-09 09:20:00,2020-01-09 08:20:00,1.11093,1.11051,0.0004199999999998649,1.1117699999999997,1,4.199999999998649,34.04761904763,2.0,1.6595238095237002
C1,londres,lo,1,2020-01-09 11:35:00,2020-01-09 10:35:00,1.11076,1.10966,0.0010999999999998789,1.1129599999999997,0,10.999999999998789,13.000000000001432,-1.0,-1.1300000000000143
C2,londres,lo,1,2020-01-09 11:40:00,2020-01-09 10:40:00,1.11087,1.10966,0.0012099999999999334,1.11329,0,12.099999999999334,11.818181818182468,-1.0,-1.1181818181818246
C1,londres,lo,1,2020-01-09 12:50:00,2020-01-09 11:50:00,1.11074,1.11034,0.00039999999999995595,1.11154,0,3.9999999999995595,35.750000000003936,-1.0,-1.3575000000000395
C2,londres,lo,1,2020-01-09 13:05:00,2020-01-09 12:05:00,1.11099,1.11034,0.0006499999999998174,1.1122899999999996,0,6.499999999998174,22.00000000000618,-1.0,-1.2200000000000617
C1,londres,lo,1,2020-01-09 13:05:00,2020-01-09 12:05:00,1.11115,1.11033,0.0008200000000000429,1.1127900000000002,0,8.20000000000043,17.439024390242988,-1.0,-1.1743902439024299
