dia,cierre_min,crt_h4_cer,crt_h4_viva,pos_h4,crt_m15,crt_m15_viva
2025-06-27,485,0,0,0.11788617886183266,0,0
2025-06-27,490,0,0,0.016260162601641426,0,0
2025-06-27,495,0,1,0.17073170731709958,0,1
2025-06-27,500,0,1,0.475609756097583,1,0
2025-06-27,505,0,0,0.6788617886178752,1,0
2025-06-27,510,0,1,0.6504065040650252,1,0
2025-06-27,515,0,1,0.5731707317073413,0,0
2025-06-27,520,0,0,0.7276422764227994,0,0
2025-06-27,525,0,0,0.8211382113821248,0,0
2025-06-27,530,0,0,1.1097560975609668,0,0
2025-06-27,535,0,0,1.1260162601626083,0,0
2025-06-27,540,0,0,1.3780487804877344,0,0
2025-06-27,545,0,0,1.4268292682926587,0,0
2025-06-27,550,0,0,1.5081300813007756,0,0
2025-06-27,555,0,0,1.6788617886178752,0,0
2025-06-27,560,0,0,1.264227642276425,0,0
2025-06-27,565,0,0,1.0975609756097584,0,0
2025-06-27,570,0,0,1.1178861788617425,0,0
2025-06-27,575,0,0,1.1951219512195166,0,0
2025-06-27,580,0,0,1.2479674796747835,0,0
2025-06-27,585,0,0,1.2479674796747835,0,0
2025-06-27,590,0,0,1.1382113821138167,0,0
2025-06-27,595,0,0,1.1707317073170094,0,0
2025-06-27,600,0,0,1.211382113821158,0,1
2025-06-27,605,0,0,1.2560975609755591,1,0
2025-06-27,610,0,0,1.495934959349567,1,0
2025-06-27,615,0,0,1.4918699186991342,1,0
2025-06-27,620,0,0,1.5934959349593254,0,0
2025-06-27,625,0,0,1.345528455284542,0,-1
2025-06-27,630,0,0,1.207317073170725,0,0
2025-06-27,635,0,0,1.2439024390243507,0,1
2025-06-27,640,0,0,1.154471544715458,0,0
2025-06-27,645,0,0,1.1869918699186508,0,0
2025-06-27,650,0,0,1.3983739837398088,0,0
2025-06-27,655,0,0,1.154471544715458,0,0
2025-06-27,660,0,0,1.004065040650433,0,0
2025-06-27,665,0,0,0.760162601625992,0,0
2025-06-27,670,0,0,0.8048780487804834,0,0
2025-06-27,675,0,0,0.8577235772357503,0,0
2025-06-27,680,0,0,0.9268292682926587,0,0
2025-06-27,685,0,0,0.9512195121950757,0,0
2025-06-27,690,0,0,0.9674796747967171,0,-1
2025-10-23,480,1,0,0.7925925925927083,0,0
2025-10-23,485,1,0,0.8148148148149122,0,0
2025-10-23,490,1,0,0.7333333333333881,0,0
2025-10-23,495,1,0,0.703703703703728,0,0
2025-10-23,500,1,0,0.8074074074074561,0,0
2025-10-23,505,1,0,0.6074074074074561,0,0
2025-10-23,510,1,0,0.6,0,0
2025-10-23,515,1,0,0.5925925925925438,0,0
2025-10-23,520,1,0,0.3111111111111842,0,0
2025-10-23,525,1,0,0.274074074074068,0,0
2025-10-23,530,1,0,0.34814814814813594,0,0
2025-10-23,535,1,0,0.474074074074068,0,0
2025-10-23,540,1,0,0.28148148148152413,0,0
2025-10-23,545,1,0,0.33333333333338816,0,0
2025-10-23,550,1,0,0.37037037037033993,0,0
2025-10-23,555,1,0,0.3185185185184759,0,0
2025-10-23,560,1,1,0.5185185185184759,0,0
2025-10-23,565,1,1,0.5185185185184759,0,0
2025-10-23,570,1,0,0.3407407407408443,0,0
2025-10-23,575,1,0,0.2,0,0
2025-10-23,580,1,0,0.19259259259254385,0,0
2025-10-23,585,1,0,0.3111111111111842,0,0
2025-10-23,590,1,0,0.48148148148152414,0,0
2025-10-23,595,1,1,0.5925925925925438,0,0
2025-10-23,600,1,1,0.6962962962962719,0,0
2025-10-23,605,1,0,0.8296296296296601,0,0
2025-10-23,610,1,0,0.8666666666667763,0,0
2025-10-23,615,1,0,0.8074074074074561,0,0
2025-10-23,620,1,0,0.8,0,-1
2025-10-23,625,1,0,0.8666666666667763,0,0
2025-10-23,630,1,0,0.9777777777777961,0,0
2025-10-23,635,1,1,0.7925925925927083,0,0
2025-10-23,640,1,1,0.7407407407408443,0,0
2025-10-23,645,1,1,0.577777777777796,0,0
2025-10-23,650,1,0,0.474074074074068,0,0
2025-10-23,655,1,0,0.36296296296304825,0,0
2025-10-23,660,1,0,0.4074074074074561,0,0
2025-10-23,665,1,0,0.4370370370371162,0,-1
2025-10-23,670,1,0,0.274074074074068,0,0
2025-10-23,675,1,0,0.36296296296304825,0,0
2025-10-23,680,1,1,0.6,0,0
2025-10-23,685,1,1,0.651851851851864,0,0
2025-10-23,690,1,1,0.6370370370371162,0,0
2025-10-29,480,0,0,0.5813953488372253,1,0
2025-10-29,485,0,0,0.3953488372093063,0,0
2025-10-29,490,0,0,0.3178294573643544,0,0
2025-10-29,495,0,0,0.08527131782949873,0,0
2025-10-29,500,0,0,0.21705426356593416,0,1
2025-10-29,505,0,0,0.4186046511627747,0,1
2025-10-29,510,0,0,0.6124031007752405,0,0
2025-10-29,515,0,0,0.44186046511624305,0,-1
2025-10-29,520,0,0,0.24806201550394935,0,-1
2025-10-29,525,0,0,0.3953488372093063,0,-1
2025-10-29,530,0,0,0.3333333333334481,-1,0
2025-10-29,535,0,0,0.015503875969093656,-1,0
2025-10-29,540,0,0,-0.13178294573643545,-1,0
2025-10-29,545,0,0,-0.13178294573643545,0,1
2025-10-29,550,0,0,-0.08527131782949873,0,1
2025-10-29,555,0,0,-0.12403100775188862,0,1
2025-10-29,560,0,0,-0.08527131782949873,1,0
2025-10-29,565,0,0,0.023255813953468357,1,0
2025-10-29,570,0,0,0.2713178294574177,1,0
2025-10-29,575,0,1,0.7674418604651443,0,0
2025-10-29,580,0,1,0.9224806201550481,0,0
2025-10-29,585,0,0,0.9844961240310784,0,0
2025-10-29,590,0,0,1.3410852713178227,0,0
2025-10-29,595,0,0,1.4263565891473216,0,0
2025-10-29,600,0,0,1.2713178294574177,0,0
2025-10-29,605,0,0,1.0155038759690937,0,0
2025-10-29,610,0,0,1.2403100775194025,0,1
2025-10-29,615,0,0,1.294573643410886,0,0
2025-10-29,620,0,0,1.480620155038805,0,0
2025-10-29,625,0,0,1.488372093023352,0,0
2025-10-29,630,0,0,1.5968992248061469,0,0
2025-10-29,635,0,0,1.6434108527132556,0,0
2025-10-29,640,0,0,1.6356589147287088,0,0
2025-10-29,645,0,0,1.6046511627906936,0,0
2025-10-29,650,0,0,1.6511627906976303,0,0
2025-10-29,655,0,0,1.7209302325582077,0,0
2025-10-29,660,0,0,1.7441860465116759,0,0
