fam,N,S,per,etiq,n,R,t,sharpe,lo,hi,tb
A,20,5.0,fuera,real,536,-0.0008901034877661321,-0.14171115160824801,-0.09716769551313094,-0.01345729578753334,0.009049075135229586,-0.1573485761661018
A,40,1.0,ajuste,real,812,0.007544172523250393,0.33485498948375564,0.18654303153737747,-0.042920982132007374,0.048033048644390425,0.32754851030771576
A,40,1.0,fuera,real,536,-0.00544477517857976,-0.18298858778727442,-0.12547057291330932,-0.058462130856072485,0.054515599664107794,-0.18705053435213745
A,40,2.0,ajuste,real,812,0.00045751339628309336,0.03868188680975536,0.02154913815739189,-0.02508676353436412,0.022580196709001583,0.03763276408922186
A,40,2.0,fuera,real,536,-0.00835926806297035,-0.5335453093990001,-0.3658383096727572,-0.03209852610842281,0.019887741267462337,-0.6099909438814068
A,40,3.0,ajuste,real,812,0.0004468829876057288,0.056698305520267674,0.03158583305295574,-0.016850671728087033,0.014167841243902916,0.05647016158193201
A,40,3.0,fuera,real,536,-0.005971640317878176,-0.5659199794572575,-0.38803678909274764,-0.02280411612310707,0.013984141387208243,-0.631218886766113
A,40,5.0,ajuste,real,812,0.00026812979256343695,0.0566983055202676,0.031585833052955696,-0.010527884634717231,0.008873879590845091,0.055144779870663935
A,40,5.0,fuera,real,536,-0.003310602687411365,-0.5266761057714109,-0.36112827324352514,-0.013255674498571377,0.008823198875424177,-0.5926951170623687
A,60,1.0,ajuste,real,812,0.016258721980794012,0.7231541261809666,0.40285905004591516,-0.023617064323108682,0.06132093607276611,0.7392777129148371
A,60,1.0,fuera,real,536,-0.007983089396889687,-0.2782004194029457,-0.19075487946706807,-0.057531198114933776,0.043507499757296314,-0.30654564482192215
A,60,2.0,ajuste,real,812,0.008350311134636223,0.7184126315543714,0.4002176297014643,-0.010245803577370257,0.029422191360757737,0.8090075577631031
A,60,2.0,fuera,real,536,-0.011201780790171425,-0.7366474003666409,-0.5051001949178935,-0.036804630756957404,0.01870362708382424,-0.7786493703290226
A,60,3.0,ajuste,real,812,0.005468654647684387,0.7043324190051485,0.39237374020866617,-0.0070736826726679036,0.02094630140192038,0.7614350752434845
A,60,3.0,fuera,real,536,-0.009188195373384184,-0.8798646206714238,-0.6033005630391147,-0.02866628257953445,0.011401996767744917,-0.8939472800335886
A,60,5.0,ajuste,real,812,0.0032811927886106304,0.7043324190051481,0.39237374020866594,-0.004294811811001801,0.012208776549294564,0.7681242903362219
A,60,5.0,fuera,real,536,-0.005555077972176297,-0.884503094567811,-0.6064810454083197,-0.017432605007871735,0.006511043847075914,-0.9219971097779776
A,120,1.0,ajuste,real,812,0.018185652243434894,0.831027024743071,0.4629535331818015,-0.023176065217130646,0.059143849845405445,0.8683709171111289
A,120,1.0,fuera,real,536,-0.04326847651278488,-1.54128958961211,-1.0568226695031062,-0.08724304229208774,0.0046289649656720165,-1.8152737946351996
A,120,2.0,ajuste,real,812,0.009826760315212969,0.8722448347662981,0.4859153986953434,-0.009447976459599548,0.028547797519640563,0.9928684156578075
A,120,2.0,fuera,real,536,-0.029175172624536387,-1.9278753539783784,-1.3218945951444632,-0.05282719309047127,-0.004075062951201995,-2.3518425618218113
A,120,3.0,ajuste,real,812,0.006354410095907776,0.8431089731023558,0.4696842176410467,-0.0062572933266690145,0.019003090873999904,0.9862876599593012
A,120,3.0,fuera,real,536,-0.021987458610841067,-2.0928647791337807,-1.4350236047139084,-0.04134980496507924,-0.0032820351809795204,-2.2949826955036228
A,120,5.0,ajuste,real,812,0.003812646057544666,0.843108973102356,0.4696842176410468,-0.004152162653784268,0.011414163437945355,0.9560176335881966
A,120,5.0,fuera,real,536,-0.012874597530124526,-2.054937418067799,-1.409017787741482,-0.02413648100185588,-0.001662106080646347,-2.2415182906902524
A,250,1.0,ajuste,real,812,0.010361793346860793,0.520827577419093,0.2901457593623195,-0.034550567835921926,0.04363355618738395,0.5263082702178143
A,250,1.0,fuera,real,536,0.015961764498996184,0.5512043956305754,0.37794669136690445,-0.029633850473545376,0.06438746462248617,0.6472229562570723
A,250,2.0,ajuste,real,812,0.0023663021807006895,0.22779682174869914,0.12690242355084688,-0.018953451880929794,0.02082978702192527,0.2317791333529166
A,250,2.0,fuera,real,536,0.002083332307308874,0.13600200583473965,0.09325308094776563,-0.024932474808381604,0.027366769468063865,0.15641460712287572
A,250,3.0,ajuste,real,812,0.001577534787133795,0.22779682174869945,0.12690242355084705,-0.013177658526746861,0.013854259013027805,0.22405222038292602
A,250,3.0,fuera,real,536,-0.00026687279081861966,-0.025391143073510144,-0.017410054402194126,-0.01996883392853151,0.016493071028496824,-0.028670165753737962
A,250,5.0,ajuste,real,812,0.0009465208722802764,0.22779682174869925,0.12690242355084697,-0.008057655617797397,0.008204408179331085,0.22542188126109763
A,250,5.0,fuera,real,536,3.3208226951771176e-05,0.005281431653554759,0.0036213419830549995,-0.01218623528805193,0.010774295452422842,0.005717908988457499
B,5,1.0,ajuste,real,812,0.013308038686474661,0.5603378253411737,0.31215636591036927,-0.04450166783255056,0.06714920838316635,0.4643072519048651
B,5,1.0,fuera,real,536,0.003966451086499337,0.14199953268598425,0.097365431008434,-0.029164482107661763,0.043269875434492205,0.2109885654679622
